DATE,SOLD TO,MONTH,PO,PRETTURE ORDER,STYLE CODE,COL,SIZE,BARCODE,PRICE,DOD,SALE MEDIUM,SALE POINTER,COLLECTION,SILHOUETTE,PRICE RANGE
13-Jun-23,PERNIA MUMBAI,Jun-23,484831,10483,VSS3,CAMELLIA,S,,12995,29-Jun-23,PERNIA,CORPORATE ONLINE,FESTIVE 22,KURTA,12-14K
13-Jun-23,AZA ONLINE KOLKATA,Jun-23,243769,10481,VSS320,INDIGO,M,OS22668,12965,16-Jun-23,AZA ONLINE,CORPORATE ONLINE,FESTIVE 22,CO-ORD,12-14K
13-Jun-23,PERNIA MUMBAI,Jun-23,484438,10480,VSS3,CAMELLIA,M,,12995,28-Jun-23,PERNIA,CORPORATE ONLINE,FESTIVE 22,KURTA,12-14K
13-Jun-23,ANONYM,Jun-23,sree nagi,10482,VSS334,SKY,L,,10755,04-Jul-23,ANONYM,CORPORATE OFFLINE,SS23,CAPE,10-12K
14-Jun-23,PERNIA MUMBAI,Jun-23,485136,10488,VSS191,PORCELAIN,L,OS23762,11595,30-Jun-23,PERNIA,CORPORATE ONLINE,SS22,KURTA,10-12K
14-Jun-23,ANONYM,Jun-23,vikranthi,10489,VSS336,RUE,S,,12745,03-Jul-23,ANONYM,CORPORATE OFFLINE,SS23,KURTA,12-14K
15-Jun-23,AZA ONLINE KOLKATA,Jun-23,244433,10495,VSS349,HIBISCUS,XXL,,9975,05-Jul-23,AZA ONLINE,CORPORATE ONLINE,SS23,JACKET DRESS,8-10K
16-Jun-23,AZA ONLINE KOLKATA,Jun-23,244884,10507,VSS358,RUE,L,OS22485,12535,07-Jul-23,AZA ONLINE,CORPORATE ONLINE,SS23,JACKET DRESS,12-14K
16-Jun-23,AZA ALTAMOUNT,Jun-23,Ms. Prerna / So No 8602,10509,VSS334,SKY,XL,,10755,05-Jul-23,AZA ALTAMOUNT,CORPORATE OFFLINE,SS23,CAPE,10-12K
16-Jun-23,ANANTAM SOUTH EX,Jun-23,JUNE SALE,N/A,VSS229,BUTTER,S,,9765,,ANANTAM SOUTH EX,CORPORATE OFFLINE,SS22,CO-ORD,8-10K
16-Jun-23,ANANTAM SOUTH EX,Jun-23,JUNE SALE,N/A,VSS367,GREY + YELLOW,XL,,12985,,ANANTAM SOUTH EX,CORPORATE OFFLINE,SS23,KURTA,12-14K
16-Jun-23,ANANTAM SOUTH EX,Jun-23,JUNE SALE,N/A,VSS359,HIBISCUS,L,,12795,,ANANTAM SOUTH EX,CORPORATE OFFLINE,SS23,KURTA,12-14K
16-Jun-23,ANANTAM SOUTH EX,Jun-23,JUNE SALE,N/A,VSS354,HIBISCUS,S,,11835,,ANANTAM SOUTH EX,CORPORATE OFFLINE,SS23,KURTA,10-12K
16-Jun-23,ANANTAM SOUTH EX,Jun-23,JUNE SALE,N/A,VSS253,ELECTRIC BLUE,M,,6493,,ANANTAM SOUTH EX,CORPORATE OFFLINE,PRE FESTIVE 22,KURTA,6-8K
16-Jun-23,ANANTAM SOUTH EX,Jun-23,JUNE SALE,N/A,VSS233,AQUA & LIME,M,,5773,,ANANTAM SOUTH EX,CORPORATE OFFLINE,SS22,KURTA,LESS THAN 6K
16-Jun-23,ANANTAM SOUTH EX,Jun-23,JUNE SALE,N/A,VSS245,PISTACHIO,L,,5493,,ANANTAM SOUTH EX,CORPORATE OFFLINE,SS22,KURTA,LESS THAN 6K
16-Jun-23,ANANTAM SOUTH EX,Jun-23,JUNE SALE,N/A,S494,PLUM,M,,6549,,ANANTAM SOUTH EX,CORPORATE OFFLINE,SALE,KURTA,6-8K
16-Jun-23,ANANTAM SOUTH EX,Jun-23,JUNE SALE,N/A,S497,ROSE,M,,6195,,ANANTAM SOUTH EX,CORPORATE OFFLINE,SALE,KURTA,6-8K
